,year,importer1,importer2,flow1,flow2
0,1938,United States of America,Canada,260.0,423.0
1,1938,United States of America,Cuba,105.69,74.019997
2,1938,United States of America,Haiti,2.96,3.6400001
3,1938,United States of America,Dominican Republic,5.7399998,5.6900001
4,1938,United States of America,Mexico,49.0,63.0
5,1938,United States of America,Guatemala,12.0,10.0
6,1938,United States of America,Honduras,8.9399996,7.0
7,1938,United States of America,El Salvador,6.75,4.0
8,1938,United States of America,Nicaragua,3.96,3.0
9,1938,United States of America,Costa Rica,4.6199999,6.0
10,1938,United States of America,Panama,5.0,26.0
11,1938,United States of America,Colombia,49.0,46.0
12,1938,United States of America,Venezuela,20.0,54.0
13,1938,United States of America,Ecuador,4.73,4.0
14,1938,United States of America,Peru,13.0,21.0
15,1938,United States of America,Brazil,98.0,72.0
16,1938,United States of America,Bolivia,1.0,7.0
17,1938,United States of America,Paraguay,1.33,0.63999999
18,1938,United States of America,Chile,28.0,28.0
19,1938,United States of America,Argentina,40.0,77.0
20,1938,United States of America,Uruguay,5.0,6.0
21,1938,United States of America,United Kingdom,118.0,548.0
22,1938,United States of America,Ireland,1.0,23.0
23,1938,United States of America,Netherlands,31.440001,84.360001
24,1938,United States of America,Belgium,42.0,85.0
25,1938,United States of America,France,54.0,151.88
26,1938,United States of America,Switzerland,23.0,28.0
27,1938,United States of America,Spain,9.0,14.0
28,1938,United States of America,Portugal,5.0,12.0
29,1938,United States of America,Germany,64.550003,96.788757
30,1938,United States of America,Poland,13.41,29.870001
31,1938,United States of America,Austria,1.27,20.0
32,1938,United States of America,Hungary,4.0,7.0
33,1938,United States of America,Czechoslovakia,26.17,26.52
34,1938,United States of America,Italy,41.0,70.0
35,1938,United States of America,Albania,0.15000001,0.27000001
36,1938,United States of America,Yugoslavia,3.8499999,6.9200001
37,1938,United States of America,Greece,14.87,9.6899996
38,1938,United States of America,Bulgaria,2.0,2.0
39,1938,United States of America,Romania,2.0,7.0
40,1938,United States of America,Russia,24.0,77.0
41,1938,United States of America,Estonia,1.24,1.5700001
42,1938,United States of America,Latvia,0.55000001,1.34
43,1938,United States of America,Lithuania,0.92000002,0.69
44,1938,United States of America,Finland,18.0,17.0
45,1938,United States of America,Sweden,45.0,85.0
46,1938,United States of America,Norway,15.68,29.25
47,1938,United States of America,Denmark,3.3199999,27.91
48,1938,United States of America,South Africa,4.0,82.0
49,1938,United States of America,Iran,3.0,7.0
50,1938,United States of America,Turkey,19.0,13.0
51,1938,United States of America,Iraq,3.0,4.0
52,1938,United States of America,Egypt,4.77,12.31
53,1938,United States of America,China,44.0,45.0
54,1938,United States of America,Japan,126.76,260.41
55,1938,United States of America,Thailand,0.20999999,3.0
56,1938,United States of America,Australia,9.0,82.0
57,1938,United States of America,New Zealand,6.0,26.0
58,1938,Canada,Cuba,0.43000001,0.81
59,1938,Canada,Haiti,0.059999999,0.11
60,1938,Canada,Dominican Republic,0.00033899999,0.28999999
61,1938,Canada,Mexico,1.0,1.0
62,1938,Canada,Guatemala,0.079999998,0.039999999
63,1938,Canada,Costa Rica,0.039999999,0.050000001
64,1938,Canada,Colombia,7.0,1.0
65,1938,Canada,Venezuela,2.0,1.0
66,1938,Canada,Peru,3.0,1.0
67,1938,Canada,Brazil,1.0,4.0
68,1938,Canada,Paraguay,0.050000001,0.0099999998
69,1938,Canada,Chile,0.0099999998,1.0
70,1938,Canada,Argentina,2.0,6.0
71,1938,Canada,United Kingdom,119.0,358.0
72,1938,Canada,Netherlands,3.73,12.45
73,1938,Canada,Belgium,6.0,11.0
74,1938,Canada,France,6.0599999,17.84
75,1938,Canada,Switzerland,3.0,6.0
76,1938,Canada,Spain,1.0,3.0
77,1938,Canada,Germany,9.8699999,17.414114
78,1938,Canada,Poland,0.25,1.1
79,1938,Canada,Austria,0.079999998,0.008316
80,1938,Canada,Czechoslovakia,2.51,3.1400001
81,1938,Canada,Italy,3.0,2.0
82,1938,Canada,Albania,0.00214,0.0079319999
83,1938,Canada,Yugoslavia,0.059999999,0.0076819998
84,1938,Canada,Greece,0.02,2.9000001
85,1938,Canada,Estonia,0.0099999998,0.001695
86,1938,Canada,Latvia,0.0099999998,0.27000001
87,1938,Canada,Lithuania,0.000382,0.89999998
88,1938,Canada,Sweden,2.0,3.0
89,1938,Canada,Norway,0.72000003,11.25
90,1938,Canada,Denmark,0.17,0.40000001
